ms-widgets	Enabled	Executable	URL:ms-widgets				19/02/2023 20:25:29	
ms-windows-search	Enabled	Executable	URL:ms-windows-search				07/05/2022 05:28:02	
ms-windows-store	Enabled	Executable	URL:ms-windows-store				19/02/2023 19:19:11	
ms-windows-store-deskext	Enabled	Executable	URL:ms-windows-store-deskext				19/02/2023 19:39:43	
ms-windows-store2	Enabled	Executable	URL:ms-windows-store2				19/02/2023 19:19:11	
ms-wpc	Enabled	Executable	URL:ms-wpc				19/02/2023 19:19:11	
ms-wpdrmv	Enabled	Executable	URL:ms-wpdrmv				19/02/2023 19:19:11	
ms-wxh	Enabled	Executable	URL:ms-wxh				19/02/2023 19:39:32	
ms-xbet-survey	Enabled	Executable	URL:ms-xbet-survey				19/02/2023 19:57:51	
ms-xbl-3d8b930f	Enabled	Executable					19/02/2023 19:19:11	
ms-xgpueject	Enabled	Executable	URL:ms-xgpueject				19/02/2023 19:19:11	
msgamepass	Enabled	Executable	URL:msgamepass				19/02/2023 19:57:57	
msgamingapp	Enabled	Executable	URL:msgamingapp				19/02/2023 19:57:57	
msnews	Enabled	Executable	URL:msnews				19/02/2023 19:57:59	
msnnews	Enabled	Executable	URL:msnnews				19/02/2023 19:57:59	
msnweather	Enabled	Executable	URL:msnweather				19/02/2023 19:19:11	
mswindowsmusic	Enabled	Executable					19/02/2023 19:19:11	
mswindowsvideo	Enabled	Executable					19/02/2023 19:19:11	
msxbox	Enabled	Executable	URL:msxbox				19/02/2023 19:57:57	
netflix	Enabled	Executable	URL:netflix				19/02/2023 22:26:21	
news	Enabled	Executable	Thunderbird (News) URL	"C:\Program Files\Mozilla Thunderbird\thunderbird.exe" -osint -mail "%1"	Thunderbird	Mozilla Corporation	12/03/2023 13:05:20	
nh3-msi	Enabled	Executable	URL:nh3-msi				19/02/2023 19:56:32	
nntp	Enabled	Executable	Thunderbird (News) URL	"C:\Program Files\Mozilla Thunderbird\thunderbird.exe" -osint -mail "%1"	Thunderbird	Mozilla Corporation	12/03/2023 13:05:20	
onenote	Enabled	Executable	URL:onenote				19/02/2023 19:19:11	
onenote-cmd	Enabled	Executable	URL:onenote-cmd				19/02/2023 19:19:11	
outlookaccounts	Enabled	Executable	URL:outlookaccounts				19/02/2023 19:19:11	
outlookcal	Enabled	Executable	URL:outlookcal				19/02/2023 19:19:11	
outlookmail	Enabled	Executable	URL:outlookmail				19/02/2023 19:19:11	
read	Enabled	Executable					19/02/2023 19:19:11	
res	Enabled	Executable	URL:RES Protocol				07/05/2022 05:28:03	
res	Enabled	Pluggable Protocol Handler	Microsoft HTML Resource Pluggable Protocol	C:\Windows\System32\mshtml.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
rlogin	Enabled	Executable	URL:RLogin Protocol	"C:\Windows\System32\rundll32.exe" "C:\Windows\System32\url.dll",TelnetProtocolHandler %l	Sistema operativo Microsoft® Windows®	Microsoft Corporation	19/02/2023 19:17:41	
search	Enabled	Executable	Windows Search Protocol	%SystemRoot%\Explorer.exe /separate,/idlist,%I,%L	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 05:28:03	
search-ms	Enabled	Executable	Windows Search Protocol	%SystemRoot%\Explorer.exe /separate,/idlist,%I,%L	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 05:28:03	
skype	Enabled	Executable	URL:skype				19/02/2023 19:19:11	
skypewin	Enabled	Executable	URL:skypewin				19/02/2023 19:19:11	
snews	Enabled	Executable	Thunderbird (News) URL	"C:\Program Files\Mozilla Thunderbird\thunderbird.exe" -osint -mail "%1"	Thunderbird	Mozilla Corporation	12/03/2023 13:05:20	
tbauth	Enabled	Pluggable Protocol Handler	Microsoft TBAuth Single-Sign On Protocol	C:\Windows\System32\tbauth.dll	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:03	
tbauth	Enabled	Executable	URL:tbauth				07/05/2022 05:28:03	
tel	Enabled	Executable	URL:tel				19/02/2023 19:19:11	
telnet	Enabled	Executable	URL:Telnet Protocol	"C:\Windows\System32\rundll32.exe" "C:\Windows\System32\url.dll",TelnetProtocolHandler %l	Sistema operativo Microsoft® Windows®	Microsoft Corporation	19/02/2023 19:17:41	
tn3270	Enabled	Executable	URL:TN3270 Protocol	"C:\Windows\System32\rundll32.exe" "C:\Windows\System32\url.dll",TelnetProtocolHandler %l	Sistema operativo Microsoft® Windows®	Microsoft Corporation	19/02/2023 19:17:41	
tv	Enabled	Pluggable Protocol Handler	TV: Pluggable Protocol	C:\Windows\System32\msvidctl.dll	DirectShow	Microsoft Corporation	07/05/2022 05:28:03	
vbscript	Enabled	Pluggable Protocol Handler	Microsoft HTML Javascript Pluggable Protocol	C:\Windows\System32\mshtml.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
vmrc	Enabled	Executable	URL:VMware VMRC Protocol	"C:\Program Files (x86)\VMware\VMware Player\vmplayer.exe" "%1"	VMware Workstation	VMware, Inc.	24/03/2023 11:34:30	
vmware-rvm	Enabled	Executable	URL:VMware Restricted VM Protocol	"C:\Program Files (x86)\VMware\VMware Player\vmplayer.exe" "%1"	VMware Workstation	VMware, Inc.	24/03/2023 11:34:30	
vnd.libreoffice.command	Enabled	Executable	URL:vnd.libreoffice.command Protocol	"C:\Program Files\LibreOffice\program\soffice.exe" "%1"	LibreOffice	The Document Foundation	05/03/2023 13:53:53	
vscode	Enabled	Executable	URL:vscode	"C:\Users\mikes\AppData\Local\Programs\Microsoft VS Code\Code.exe" "--open-url"  "--" "%1"	Visual Studio Code	Microsoft Corporatio	20/02/2023 10:53:42	
webcal	Enabled	Executable	URL:webcal				08/03/2023 18:22:31	
webcals	Enabled	Executable	URL:webcals				08/03/2023 18:22:31	
whatsapp	Enabled	Executable	URL:whatsapp				16/03/2023 18:58:10	
windows-feedback	Enabled	Executable	URL:windows-feedback				19/02/2023 19:19:11	
windows.tbauth	Enabled	Pluggable Protocol Handler	Microsoft TBAuth Single-Sign On Protocol	C:\Windows\System32\tbauth.dll	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:03	
windows.tbauth	Enabled	Executable	URL:windows.tbauth				07/05/2022 05:28:03	
windowsdefender	Enabled	Executable	URL:windowsdefender				19/02/2023 19:19:11	
WMP11.AssocProtocol.DLNA-PLAYSINGLE	Enabled	Executable	URL:dlna-playsingle Protocol	"%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe" "%L"	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 10:31:51	
WMP11.AssocProtocol.MMS	Enabled	Executable	URL:mms Protocol	"%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe" "%L"	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 10:31:51	
xbls	Enabled	Executable	URL:xbls				19/02/2023 19:19:11	
xbox	Enabled	Executable	URL:xbox				19/02/2023 19:19:11	
xbox-arena	Enabled	Executable	URL:xbox-arena				19/02/2023 19:19:11	
xbox-captures	Enabled	Executable	URL:xbox-captures				19/02/2023 19:19:11	
xbox-friendfinder	Enabled	Executable	URL:xbox-friendfinder				19/02/2023 19:19:11	
xbox-gamehub	Enabled	Executable	URL:xbox-gamehub				19/02/2023 19:19:11	
